--------------------------------------------------------------------------------
Process Log at Fri Aug 14 17:18:11 2020
--------------------------------------------------------------------------------
{'pid': 3980, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 444, 'ppid': 868, 'memory_percent': 0.14059293961707334, 'num_threads': 8, 'vms': 5.1328125}
{'pid': 4004, 'create_time': 1597390668.0, 'username': None, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'num_handles': 550, 'ppid': 868, 'memory_percent': 0.31682036640609146, 'num_threads': 6, 'vms': 35.56640625}
{'pid': 4012, 'create_time': 1597390734.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AvastUI.exe', 'num_handles': 643, 'ppid': 14228, 'memory_percent': 0.03558646225661873, 'num_threads': 10, 'vms': 16.43359375}
{'pid': 4028, 'create_time': 1597390668.0, 'username': None, 'name': 'AiSquared.Magnification.Service.exe', 'num_handles': 106, 'ppid': 868, 'memory_percent': 0.0427181621825403, 'num_threads': 5, 'vms': 2.90234375}
{'pid': 4060, 'create_time': 1597390668.0, 'username': None, 'name': 'nvcontainer.exe', 'num_handles': 707, 'ppid': 868, 'memory_percent': 0.23208040331323893, 'num_threads': 39, 'vms': 13.7890625}
{'pid': 4068, 'create_time': 1597390668.0, 'username': None, 'name': 'armsvc.exe', 'num_handles': 146, 'ppid': 868, 'memory_percent': 0.03918833090607407, 'num_threads': 2, 'vms': 1.80859375}
{'pid': 4076, 'create_time': 1597390668.0, 'username': None, 'name': 'ZoomTextHelperService.exe', 'num_handles': 68, 'ppid': 868, 'memory_percent': 0.021899361388688452, 'num_threads': 2, 'vms': 0.87109375}
{'pid': 4116, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 212, 'ppid': 868, 'memory_percent': 0.04423094701531154, 'num_threads': 14, 'vms': 2.3359375}
{'pid': 4144, 'create_time': 1597390781.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'num_handles': 217, 'ppid': 92, 'memory_percent': 0.12095074924871024, 'num_threads': 3, 'vms': 5.42578125}
{'pid': 4236, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 210, 'ppid': 868, 'memory_percent': 0.05443624152210167, 'num_threads': 6, 'vms': 2.37890625}
{'pid': 4260, 'create_time': 1597397940.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'num_handles': 118, 'ppid': 4648, 'memory_percent': 0.04843312710634277, 'num_threads': 4, 'vms': 1.69921875}
{'pid': 4280, 'create_time': 1597405656.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'num_handles': 169, 'ppid': 10884, 'memory_percent': 0.156561223962992, 'num_threads': 3, 'vms': 17.98828125}
{'pid': 4288, 'create_time': 1597398095.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Video.UI.exe', 'num_handles': 663, 'ppid': 92, 'memory_percent': 0.008500410012714597, 'num_threads': 17, 'vms': 19.671875}
{'pid': 4316, 'create_time': 1597397940.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'num_handles': 239, 'ppid': 7356, 'memory_percent': 0.10063621006578213, 'num_threads': 6, 'vms': 7.14453125}
{'pid': 4384, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 530, 'ppid': 868, 'memory_percent': 0.08690108428252577, 'num_threads': 9, 'vms': 5.234375}
{'pid': 4424, 'create_time': 1597390669.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 238, 'ppid': 868, 'memory_percent': 0.04653614295096296, 'num_threads': 8, 'vms': 2.28125}
{'pid': 4484, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 109, 'ppid': 868, 'memory_percent': 0.03284904208303268, 'num_threads': 3, 'vms': 1.3125}
{'pid': 4564, 'create_time': 1597390668.0, 'username': None, 'name': 'dasHost.exe', 'num_handles': 139, 'ppid': 3904, 'memory_percent': 0.032416817845098034, 'num_threads': 2, 'vms': 1.29296875}
{'pid': 4576, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 404, 'ppid': 868, 'memory_percent': 0.07912104799970225, 'num_threads': 13, 'vms': 3.59765625}
{'pid': 5296, 'create_time': 1597390690.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'explorer.exe', 'num_handles': 2984, 'ppid': 9112, 'memory_percent': 1.0141181244829818, 'num_threads': 85, 'vms': 83.45703125}
{'pid': 5304, 'create_time': 1597390700.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhone.exe', 'num_handles': 569, 'ppid': 92, 'memory_percent': 0.3090163176656049, 'num_threads': 14, 'vms': 21.67578125}
