--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:34:03 2020
--------------------------------------------------------------------------------
{'name': 'conhost.exe', 'pid': 12880, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.6875}
{'name': 'explorer.exe', 'pid': 12972, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 73.45703125}
{'name': 'RuntimeBroker.exe', 'pid': 13080, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.5}
{'name': 'SecurityHealthSystray.exe', 'pid': 13220, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.078125}
{'name': 'chrome.exe', 'pid': 13340, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 65.6796875}
{'name': 'svchost.exe', 'pid': 13388, 'username': None, 'vms': 2.22265625}
{'name': 'RuntimeBroker.exe', 'pid': 13496, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.84765625}
{'name': 'WmiPrvSE.exe', 'pid': 13516, 'username': None, 'vms': 4.33984375}
{'name': 'nvcontainer.exe', 'pid': 13536, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.2578125}
{'name': 'sihost.exe', 'pid': 13572, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.4765625}
{'name': 'svchost.exe', 'pid': 13608, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.9140625}
{'name': 'svchost.exe', 'pid': 13636, 'username': None, 'vms': 1.8984375}
{'name': 'NVIDIA Web Helper.exe', 'pid': 13660, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 30.23046875}
{'name': 'svchost.exe', 'pid': 13664, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 13.84765625}
{'name': 'SearchProtocolHost.exe', 'pid': 13668, 'username': None, 'vms': 2.4921875}
{'name': 'svchost.exe', 'pid': 13688, 'username': None, 'vms': 3.06640625}
{'name': 'chrome.exe', 'pid': 13692, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 22.36328125}
{'name': 'GoogleCrashHandler64.exe', 'pid': 13700, 'username': None, 'vms': 1.796875}
{'name': 'svchost.exe', 'pid': 13788, 'username': None, 'vms': 3.19921875}
{'name': 'RuntimeBroker.exe', 'pid': 13960, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.953125}
{'name': 'StartMenuExperienceHost.exe', 'pid': 13968, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 29.0859375}
{'name': 'NVIDIA Share.exe', 'pid': 14232, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 33.97265625}
{'name': 'ApplicationFrameHost.exe', 'pid': 14496, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 20.44921875}
{'name': 'svchost.exe', 'pid': 14832, 'username': None, 'vms': 1.484375}
{'name': 'chrome.exe', 'pid': 14884, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 51.85546875}
{'name': 'SettingSyncHost.exe', 'pid': 14932, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.91796875}
{'name': 'svchost.exe', 'pid': 14936, 'username': None, 'vms': 2.05859375}
{'name': 'igfxEM.exe', 'pid': 14964, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.7578125}
{'name': 'DolbyDAX2API.exe', 'pid': 15012, 'username': None, 'vms': 29.99609375}
{'name': 'LMS.exe', 'pid': 15096, 'username': None, 'vms': 3.3671875}
{'name': 'WmiPrvSE.exe', 'pid': 15300, 'username': None, 'vms': 2.6953125}
