--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:37:47 2020
--------------------------------------------------------------------------------
{'name': 'SecurityHealthSystray.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9304, 'vms': 2.1015625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9320, 'vms': 1.859375}
{'name': 'svchost.exe', 'username': None, 'pid': 9348, 'vms': 1.4921875}
{'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9364, 'vms': 7.55078125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9480, 'vms': 64.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 9572, 'vms': 11.1640625}
{'name': 'csrss.exe', 'username': None, 'pid': 9824, 'vms': 2.4453125}
{'name': 'svchost.exe', 'username': None, 'pid': 9972, 'vms': 4.375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10040, 'vms': 19.609375}
{'name': 'ShellExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10060, 'vms': 16.21875}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 10300, 'vms': 10.4453125}
{'name': 'LMS.exe', 'username': None, 'pid': 10316, 'vms': 3.81640625}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10428, 'vms': 171.28515625}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11040, 'vms': 47.5859375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 11044, 'vms': 4.03515625}
{'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11172, 'vms': 16.4296875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11280, 'vms': 38.390625}
{'name': 'dwm.exe', 'username': None, 'pid': 11436, 'vms': 72.1640625}
{'name': 'svchost.exe', 'username': None, 'pid': 11560, 'vms': 2.3828125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11720, 'vms': 6.8046875}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11776, 'vms': 7.15234375}
{'name': 'dllhost.exe', 'username': None, 'pid': 11804, 'vms': 3.7421875}
{'name': 'svchost.exe', 'username': None, 'pid': 11872, 'vms': 5.57421875}
{'name': 'svchost.exe', 'username': None, 'pid': 11936, 'vms': 4.5703125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11952, 'vms': 24.79296875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12128, 'vms': 113.61328125}
{'name': 'LockApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12316, 'vms': 13.42578125}
{'name': 'powershell.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12708, 'vms': 62.1796875}
{'name': 'PSSvc.exe', 'username': None, 'pid': 12728, 'vms': 29.8359375}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12748, 'vms': 40.89453125}
{'name': 'svchost.exe', 'username': None, 'pid': 12808, 'vms': 2.078125}
{'name': 'UnrealCEFSubProcess.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13148, 'vms': 97.5703125}
{'name': 'GoogleCrashHandler.exe', 'username': None, 'pid': 13252, 'vms': 1.8125}
{'name': 'GoogleCrashHandler64.exe', 'username': None, 'pid': 13276, 'vms': 1.79296875}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13304, 'vms': 11.07421875}
{'name': 'DolbyDAX2TrayIcon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13440, 'vms': 4.01171875}
{'name': 'SearchFilterHost.exe', 'username': None, 'pid': 13460, 'vms': 1.99609375}
{'name': 'svchost.exe', 'username': None, 'pid': 13520, 'vms': 3.24609375}
{'name': 'SgrmBroker.exe', 'username': None, 'pid': 13576, 'vms': 4.7109375}
{'name': 'Microsoft.Photos.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13652, 'vms': 50.4375}
{'name': 'svchost.exe', 'username': None, 'pid': 13668, 'vms': 6.76953125}
