--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:57:18 2020
--------------------------------------------------------------------------------
{'pid': 4128, 'name': 'mDNSResponder.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 2.17578125}
{'pid': 4136, 'name': 'AdminService.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 12.5625}
{'pid': 4144, 'name': 'AiSquared.Magnification.Service.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 2.765625}
{'pid': 4152, 'name': 'Crypserv.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 3.2265625}
{'pid': 4160, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 21.03125}
{'pid': 4176, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 35.71875}
{'pid': 4184, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 6.6015625}
{'pid': 4208, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 1.5859375}
{'pid': 4216, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 5.11328125}
{'pid': 4228, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 2.015625}
{'pid': 4240, 'name': 'powershell.exe', 'create_time': 1597314731.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 64.33984375}
{'pid': 4244, 'name': 'ZoomTextHelperService.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 0.859375}
{'pid': 4256, 'name': 'Skype.exe', 'create_time': 1597314345.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 119.53125}
{'pid': 4260, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 2.08984375}
{'pid': 4268, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 1.328125}
{'pid': 4276, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 5.26171875}
{'pid': 4284, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 38.07421875}
{'pid': 4292, 'name': 'Updater.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 4.96875}
{'pid': 4300, 'name': 'AppleMobileDeviceService.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 3.5546875}
{'pid': 4312, 'name': 'nvcontainer.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 14.55859375}
{'pid': 4364, 'name': 'OfficeClickToRun.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 36.8984375}
{'pid': 4416, 'name': 'svchost.exe', 'create_time': 1597002352.0, 'username': None, 'vms': 5.11328125}
{'pid': 4436, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 2.34765625}
{'pid': 4576, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 2.35546875}
{'pid': 4592, 'name': 'python.exe', 'create_time': 1597314738.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 117.3828125}
{'pid': 4816, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 1.30078125}
