--------------------------------------------------------------------------------
Process Log at Mon Aug 10 19:36:43 2020
--------------------------------------------------------------------------------
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9388, 'create_time': 1597065293.0, 'name': 'jusched.exe', 'vms': 1.765625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9400, 'create_time': 1597065273.0, 'name': 'chrome.exe', 'vms': 2.2734375}
{'username': None, 'pid': 9444, 'create_time': 1597068159.0, 'name': 'svchost.exe', 'vms': 4.51171875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9720, 'create_time': 1597065284.0, 'name': 'NVIDIA Share.exe', 'vms': 33.71875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9780, 'create_time': 1597065264.0, 'name': 'igfxEM.exe', 'vms': 3.66796875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9936, 'create_time': 1597066236.0, 'name': 'chrome.exe', 'vms': 207.3125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10016, 'create_time': 1597065272.0, 'name': 'RuntimeBroker.exe', 'vms': 4.43359375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10112, 'create_time': 1597066623.0, 'name': 'conhost.exe', 'vms': 1.7109375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10156, 'create_time': 1597065274.0, 'name': 'chrome.exe', 'vms': 30.30859375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10220, 'create_time': 1597065291.0, 'name': 'Skype.exe', 'vms': 10.73046875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10276, 'create_time': 1597066458.0, 'name': 'chrome.exe', 'vms': 75.90625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10460, 'create_time': 1597065275.0, 'name': 'chrome.exe', 'vms': 20.1171875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10540, 'create_time': 1597066224.0, 'name': 'AcerRegistrationBackGroundTask.exe', 'vms': 38.4453125}
{'username': None, 'pid': 10736, 'create_time': 1597002020.0, 'name': 'svchost.exe', 'vms': 4.1640625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10980, 'create_time': 1597065273.0, 'name': 'AiSquared.Loader.Elevated.exe', 'vms': 14.37109375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11040, 'create_time': 1597066623.0, 'name': 'CodeHelper.exe', 'vms': 11.15625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11168, 'create_time': 1597065648.0, 'name': 'dllhost.exe', 'vms': 3.79296875}
{'username': None, 'pid': 11176, 'create_time': 1597002132.0, 'name': 'SgrmBroker.exe', 'vms': 3.50390625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11184, 'create_time': 1597068187.0, 'name': 'smartscreen.exe', 'vms': 8.0703125}
{'username': None, 'pid': 11312, 'create_time': 1597068159.0, 'name': 'svchost.exe', 'vms': 3.265625}
{'username': None, 'pid': 11468, 'create_time': 1597002021.0, 'name': 'unsecapp.exe', 'vms': 1.55859375}
{'username': None, 'pid': 11612, 'create_time': 1597065262.0, 'name': 'svchost.exe', 'vms': 1.484375}
{'username': None, 'pid': 11904, 'create_time': 1597002029.0, 'name': 'GoogleCrashHandler.exe', 'vms': 1.81640625}
{'username': None, 'pid': 12096, 'create_time': 1597002132.0, 'name': 'svchost.exe', 'vms': 4.9375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12320, 'create_time': 1597066623.0, 'name': 'powershell.exe', 'vms': 62.05078125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12372, 'create_time': 1597065266.0, 'name': 'svchost.exe', 'vms': 4.44140625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12376, 'create_time': 1597065348.0, 'name': 'SystemSettings.exe', 'vms': 23.33203125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12536, 'create_time': 1597065266.0, 'name': 'ctfmon.exe', 'vms': 4.01171875}
{'username': None, 'pid': 12612, 'create_time': 1597068400.0, 'name': 'SearchProtocolHost.exe', 'vms': 2.59375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12680, 'create_time': 1597065288.0, 'name': 'Skype.exe', 'vms': 32.0546875}
{'username': None, 'pid': 12732, 'create_time': 1597002131.0, 'name': 'jhi_service.exe', 'vms': 1.453125}
{'username': None, 'pid': 12756, 'create_time': 1597056544.0, 'name': 'NVDisplay.Container.exe', 'vms': 28.80859375}
{'username': None, 'pid': 12844, 'create_time': 1597002031.0, 'name': 'SecurityHealthService.exe', 'vms': 4.4375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12988, 'create_time': 1597065268.0, 'name': 'RuntimeBroker.exe', 'vms': 6.6015625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13304, 'create_time': 1597066630.0, 'name': 'conhost.exe', 'vms': 6.52734375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13328, 'create_time': 1597065268.0, 'name': 'svchost.exe', 'vms': 11.93359375}
{'username': None, 'pid': 13388, 'create_time': 1597044012.0, 'name': 'svchost.exe', 'vms': 2.3203125}
{'username': None, 'pid': 13636, 'create_time': 1597002037.0, 'name': 'svchost.exe', 'vms': 1.9921875}
{'username': None, 'pid': 13688, 'create_time': 1597002251.0, 'name': 'svchost.exe', 'vms': 3.05078125}
{'username': None, 'pid': 13700, 'create_time': 1597002033.0, 'name': 'GoogleCrashHandler64.exe', 'vms': 1.796875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13724, 'create_time': 1597065285.0, 'name': 'OneDrive.exe', 'vms': 14.2265625}
